"","y2_hhid","reg","dis","ward","id","con","ccm_prez05","split_prez05"
"180","0203014016009101","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"181","0203014016011401","ARUSHA","ARUSHA","SOMBETINI",14,"ARUSHA  MJINI",NA,NA
"182","0204001001003601","ARUSHA","KARATU","RHOTIA",23,"KARATU",1,19.4
"183","0204001001022501","ARUSHA","KARATU","RHOTIA",23,"KARATU",1,19.4
"184","0204001001029601","ARUSHA","KARATU","RHOTIA",23,"KARATU",1,19.4
"185","0204001001029605","ARUSHA","KARATU","RHOTIA",23,"KARATU",1,19.4
"186","0204001001030101","ARUSHA","KARATU","RHOTIA",23,"KARATU",1,19.4
"187","0204001001032701","ARUSHA","KARATU","RHOTIA",23,"KARATU",1,19.4
"188","0204001001058501","ARUSHA","KARATU","RHOTIA",23,"KARATU",1,19.4
"189","0204001001072901","ARUSHA","KARATU","RHOTIA",23,"KARATU",1,19.4
"190","0204001002017801","ARUSHA","KARATU","GANAKO",24,"KARATU",1,19.4
"191","0204001002027901","ARUSHA","KARATU","GANAKO",24,"KARATU",1,19.4
"192","0204001002031201","ARUSHA","KARATU","GANAKO",24,"KARATU",1,19.4
"193","0204001002041601","ARUSHA","KARATU","GANAKO",24,"KARATU",1,19.4
"194","0204001002044801","ARUSHA","KARATU","GANAKO",24,"KARATU",1,19.4
"195","0204001002055401","ARUSHA","KARATU","GANAKO",24,"KARATU",1,19.4
"196","0204001002079201","ARUSHA","KARATU","GANAKO",24,"KARATU",1,19.4
"197","0204001002080001","ARUSHA","KARATU","GANAKO",24,"KARATU",1,19.4
"198","0205002007002801","ARUSHA","NGORONGORO","DIGODIGO",30,"NGORONGORO",NA,NA
"199","0205002007004201","ARUSHA","NGORONGORO","DIGODIGO",30,"NGORONGORO",NA,NA
"200","0205002007004401","ARUSHA","NGORONGORO","DIGODIGO",30,"NGORONGORO",NA,NA
"201","0205002007011501","ARUSHA","NGORONGORO","DIGODIGO",30,"NGORONGORO",NA,NA
"202","0205002007012401","ARUSHA","NGORONGORO","DIGODIGO",30,"NGORONGORO",NA,NA
"203","0205002007017501","ARUSHA","NGORONGORO","DIGODIGO",30,"NGORONGORO",NA,NA
"204","0205002007017503","ARUSHA","NGORONGORO","DIGODIGO",30,"NGORONGORO",NA,NA
"205","0205002007035501","ARUSHA","NGORONGORO","DIGODIGO",30,"NGORONGORO",NA,NA
"206","0205010001008001","ARUSHA","NGORONGORO","NGORONGORO",31,"NGORONGORO",NA,NA
"207","0205010001008301","ARUSHA","NGORONGORO","NGORONGORO",31,"NGORONGORO",NA,NA
"208","0205010001011101","ARUSHA","NGORONGORO","NGORONGORO",31,"NGORONGORO",NA,NA
"209","0205010001012601","ARUSHA","NGORONGORO","NGORONGORO",31,"NGORONGORO",NA,NA
"210","0205010001016201","ARUSHA","NGORONGORO","NGORONGORO",31,"NGORONGORO",NA,NA
