id,reg,dis,con,ward
336,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,SOKONIII
337,KILIMANJARO,MWANGA,MWANGA,KILEO
338,PWANI,KIBAHA,KIBAHA MJINI,TUMBI
339,KILIMANJARO,MWANGA,MWANGA,MWANGA
340,DAR-ES-SALAAM,TEMEKE,TEMEKE,CHANG'OMBE
341,KILIMANJARO,SAME,SAME MAGHARIBI,SUJI
342,DODOMA,KONGWA,KONGWA,ZOISSA
343,KILIMANJARO,MOSHI URBAN,MOSHI MJINI,MSARANGA
344,ARUSHA,ARUSHA,ARUSHA  MJINI,THEMI
345,MOROGORO,MOROGORO URBAN,MOROGORO MJINI,MBUYUNI
346,MWANZA,ILEMELA,ILEMELA,ILEMELA
347,SINGIDA,SINGIDA URBAN,SINGIDA MJINI,KINDAI
348,MWANZA,ILEMELA,ILEMELA,NYAKATO
349,MWANZA,ILEMELA,ILEMELA,PASIANSI
350,KILIMANJARO,MOSHI URBAN,MOSHI MJINI,PASUA
351,KILIMANJARO,MWANGA,MWANGA,MWANIKO
352,ARUSHA,ARUMERU,ARUMERU MASHARIKI,MAKIBA
353,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,LANGARINI
354,TANGA,LUSHOTO,LUSHOTO,KWAI
355,KILIMANJARO,SAME,SAME MAGHARIBI,SAME MJINI
356,KILIMANJARO,MOSHI URBAN,MOSHI MJINI,KALOLENI
357,KILIMANJARO,HAI,SIHA,SIHA MAGHARIBI
358,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,CHAMAZI
359,TANGA,MUHEZA,MUHEZA,PANDE
360,DAR-ES-SALAAM,TEMEKE,KIGAMBONI,KISARAWE II
361,ARUSHA,ARUMERU,ARUMERU MAGHARIBI,OLDONYO SAMBU
362,MTWARA,MASASI,NA,MWENA
363,TANGA,MUHEZA,MUHEZA,TINGENI
364,DAR-ES-SALAAM,TEMEKE,TEMEKE,KEKO
365,TANGA,TANGA,TANGA MJINI,MABOKWENI
366,PWANI,BAGAMOYO,BAGAMOYO,DUNDA
367,MBEYA,MBOZI,MBOZI MASHARIKI,TUNDUMA
368,MARA,MUSOMA URBAN,MUSOMA MJINI,KIGERA
369,TANGA,PANGANI,PANGANI,MKWAJA
370,TANGA,PANGANI,PANGANI,KIPUMBWI
371,TANGA,PANGANI,PANGANI,BUSHIRI
372,TANGA,HANDENI,HANDENI,KANG'ATA
373,TANGA,HANDENI,HANDENI,MKATA
374,TANGA,MUHEZA,MUHEZA,MKUZI
